subassembly,class,part_id,description,mpn,vendor,vendor_url,alt_mpn,alt_url,qty_per_robot,unit_cost_usd,total_cost_usd,material,process,tolerance_finish,lead_time_days,priced_as_of,notes,team_ref
electronics,off_the_shelf,EL_COMPUTE_MINIPC,MINISFORUM X1-470 mini PC (onboard computer),X1-470,Amazon,https://www.amazon.com/MINISFORUM-X1-Pro-470-Quad-Display-Bluetooth/dp/B0GL2PPG67,,,1,1295,,,,,,2026-09-19,"Team BOM E0: ""MINISFORUM X1-470 Mini PC"". Module (III) on the hardware overview figure. The 2026-09-19 link is the X1-Pro-470 listing; the model on the site is the X1-470 **UNVERIFIED**.",E0
electronics,off_the_shelf,EL_BATTERY_6S,"Zeee 6S LiPo battery, 10000 mAh, 22.2 V, 2-pack",10000mah-22-2v-120c-ec5,Zeee,https://zeeebattery.com/products/zeee-6s-lipo-battery-10000mah-22-2v-120c-ec5,,,1,367,,,,,,2026-09-19,"Team BOM E7: ""Zeee 6S Lipo Battery 10000mAh 22.2V x2"". Priced as one 2-pack, which is how the team BOM records it (its item text ends in x2). Whether both packs are carried at once is not stated there.",E7
electronics,off_the_shelf,EL_TVS_DIODE,"TVS diode, 53 V working / 85 V clamping",M1.5KE62CA,DigiKey,https://www.digikey.com/en/products/detail/microchip-technology/M1-5KE62CA/4349574,,,10,3.56,,,,,,2026-09-19,"Team BOM E8: ""TVS DIODE 53VWM 85VC"". Manufacturer part number read from the DigiKey link. Where the ten diodes are installed is not documented in the team BOM.",E8
electronics,off_the_shelf,EL_SERVO_DRIVER,"Waveshare serial bus servo driver board, ST/SC series",25514,Waveshare,https://www.waveshare.com/product/robotics/drivers-sensors/drivers/bus-servo-adapter-a.htm,,,2,4.99,,,,,,2026-09-19,"Team BOM E10: ""Serial Bus Servo Driver Board for ST/SC Series Serial Bus Servos"". Two boards for the two Feetech bus servos.",E10
electronics,off_the_shelf,EL_BUCK_12V_ENC,DC 20-60 V to 12 V encased buck converter,B0G2SV9PFY,Amazon,https://www.amazon.com/gp/product/B0G2SV9PFY?th=1,,,1,18.99,,,,,,2026-09-19,"Team BOM E11: ""DC 20V-60V to 12V Encased Buck Converter"".",E11
electronics,off_the_shelf,EL_BUCK_60V_12V,60 V to 12 V buck converter,6.5V-60V To 5V/12V Dc,AliExpress,https://www.aliexpress.us/item/3256809688561615.html?spm=a2g0o.detail.0.0.4fd9AhcQAhcQuZ,,,2,2.7,,,,,,2026-09-19,"Team BOM E12: ""60V to 12V Buck Converter"".",E12
electronics,off_the_shelf,EL_CAN_ADAPTER,CANable PRO V2.0 USB-CAN controller,CANable PRO V2.0,Amazon,https://www.amazon.com/Macrobase-PRO-V2-0-Controller-transceiver/dp/B0GJSRZLBV/,,,6,20.8,,,,,,2026-09-19,"Team BOM E13: ""CANable PRO V2.0 USBCAN Controller"". Six adapters, one per CAN bus.",E13
electronics,off_the_shelf,EL_CAM_D436,Intel RealSense D436 depth camera,D436,RealSense Store,https://store.realsenseai.com/buy-intel-realsense-depth-camera-d436.html,,,2,354,,,,,,2026-09-19,"Team BOM E14: ""RealSense Depth Camera D436"". SUPPLY RISK, no alternate published. One per camera gimbal. The workspace study assumes this camera's 90x65 degree RGB field of view, so a substitute changes the result the design was optimised for.",E14
electronics,off_the_shelf,EL_SERVO_FEETECH,"Feetech HL-3915-C001 12 V servo, 14.2 kg-cm",HL-3915-C001,AiFitLab,https://aifitlab.com/products/feetech-hl-3915-servo-motor?variant=44326557417608,,,2,50,,,,,,2026-09-19,"Team BOM E15: ""Feetech HL-3915-C001 12V 14.2Kg Servo"". One servo per gripper.",E15
electronics,off_the_shelf,EL_USB_HUB,Vention USB hub,B0D2XWJ99H,Amazon,https://www.amazon.com/VENTION-Splitter-Expander-Chromebook-Surface/dp/B0D2XWJ99H,,,3,12.99,,,,,,2026-09-19,"Team BOM E16: ""Vention USB Hub"".",E16
electronics,off_the_shelf,EL_IMU_TM171,"SYD Dynamics TransducerM TM171 9-axis AHRS, dual-port",TM171,RobotShop,https://www.robotshop.com/products/syd-dynamics-transducerm-tm171-9-axis-ahrs-w-dual-port-communication,,,1,57,,,,,,2026-09-19,"Team BOM E17: ""IMU"". Listed in the team BOM only as ""IMU""; the model is read from the vendor link.",E17
electronics,off_the_shelf,EL_SURGE_PROTECTOR,E9 150A circuit breaker with manual reset,,Amazon,https://www.amazon.com/s?k=E9+150A+amp+circuit+breaker+manual+reset,,,1,,,,,,,2026-09-21,"Team BOM E18. Renamed from ""TTocas Surge Protector"" to ""E9 150A circuit breaker with manual reset"" on 2026-09-21. **TODO**{ .dh-missing }: the team BOM does not name this part; the link is an Amazon search for the type.",E18
electronics,off_the_shelf,EL_DIST_BLOCK,"Grounding bars, copper wire connector",,AliExpress,https://www.aliexpress.us/wholesale?SearchText=Grounding+Bars+Copper+Wire+Connector,,,4,,,,,,,2026-09-21,"Team BOM E19: ""Power Distribution Block Terminals"". Renamed on 2026-09-21 to ""Grounding Bars Copper Wire Connector"" by the team. Four off, which matches the two power + ground pairs drawn on the power wiring diagram; that the drawn blocks are this part is **UNVERIFIED**; the link is an AliExpress search for the type.",E19
electronics,off_the_shelf,EL_VOLTAGE_CHECKER,"LiPo voltage checker, 1-8S, with case",,ePowerHobby,https://epowerhobby.com/product/lipo-voltage-checker-1-8s-with-case/?srsltid=AU7gw4UInG3PxKxg6QzfEx3h8wbA6nCnb4-ykXVukOMgql9G3C0_gAdM,,,2,14.5,,,,,,2026-09-19,"Team BOM E20: ""Voltage Sensor for LiPo"". New in the 2026-09-19 team BOM. Two off; where they sit on the robot is not stated.",E20
